retriever,strategy,reward,recall@10,mrr,num_records,alpha,beta,lambda
bm25,expanded,0.9497053045186641,0.9497053045186641,0.8325136433093211,2545,1.0,0.0,0.0
bm25,keyword,0.9414538310412573,0.9414538310412573,0.8192461097077992,2545,1.0,0.0,0.0
bm25,original,0.9485265225933203,0.9485265225933203,0.8332151432937287,2545,1.0,0.0,0.0
bm25,prompt,0.9300589390962672,0.9300589390962672,0.8122610471824618,2545,1.0,0.0,0.0
bm25,structured,0.9029469548133595,0.9029469548133595,0.7826273115664079,2545,1.0,0.0,0.0
dense,expanded,0.06483300589390963,0.06483300589390963,0.01478513736863442,2545,1.0,0.0,0.0
dense,keyword,0.16345776031434184,0.16345776031434184,0.06037328094302554,2545,1.0,0.0,0.0
dense,original,0.00550098231827112,0.00550098231827112,0.0026326129666011788,2545,1.0,0.0,0.0
dense,prompt,0.060903732809430254,0.060903732809430254,0.017416035176349518,2545,1.0,0.0,0.0
dense,structured,0.05225933202357564,0.05225933202357564,0.017185112420868807,2545,1.0,0.0,0.0
hybrid,expanded,0.8856581532416503,0.8856581532416503,0.6938862381887922,2545,1.0,0.0,0.0
hybrid,keyword,0.8793713163064834,0.8793713163064834,0.6925321982099979,2545,1.0,0.0,0.0
hybrid,original,0.8856581532416503,0.8856581532416503,0.670524526772071,2545,1.0,0.0,0.0
hybrid,prompt,0.8644400785854617,0.8644400785854617,0.6898800948015094,2545,1.0,0.0,0.0
hybrid,structured,0.8373280943025541,0.8373280943025541,0.671841456949512,2545,1.0,0.0,0.0
bm25,expanded,1.3659621261733246,0.9497053045186641,0.8325136433093211,2545,1.0,0.5,0.0
bm25,keyword,1.3510768858951572,0.9414538310412573,0.8192461097077992,2545,1.0,0.5,0.0
bm25,original,1.3651340942401846,0.9485265225933203,0.8332151432937287,2545,1.0,0.5,0.0
bm25,prompt,1.336189462687498,0.9300589390962672,0.8122610471824618,2545,1.0,0.5,0.0
bm25,structured,1.2942606105965635,0.9029469548133595,0.7826273115664079,2545,1.0,0.5,0.0
dense,expanded,0.07222557457822684,0.06483300589390963,0.01478513736863442,2545,1.0,0.5,0.0
dense,keyword,0.19364440078585463,0.16345776031434184,0.06037328094302554,2545,1.0,0.5,0.0
dense,original,0.0068172888015717095,0.00550098231827112,0.0026326129666011788,2545,1.0,0.5,0.0
dense,prompt,0.06961175039760502,0.060903732809430254,0.017416035176349518,2545,1.0,0.5,0.0
dense,structured,0.06085188823401005,0.05225933202357564,0.017185112420868807,2545,1.0,0.5,0.0
hybrid,expanded,1.2326012723360464,0.8856581532416503,0.6938862381887922,2545,1.0,0.5,0.0
hybrid,keyword,1.2256374154114822,0.8793713163064834,0.6925321982099979,2545,1.0,0.5,0.0
hybrid,original,1.220920416627686,0.8856581532416503,0.670524526772071,2545,1.0,0.5,0.0
hybrid,prompt,1.2093801259862165,0.8644400785854617,0.6898800948015094,2545,1.0,0.5,0.0
hybrid,structured,1.17324882277731,0.8373280943025541,0.671841456949512,2545,1.0,0.5,0.0
bm25,expanded,0.7613059375682165,0.9497053045186641,0.8325136433093211,2545,1.0,0.5,0.05
bm25,keyword,1.0881888701780646,0.9414538310412573,0.8192461097077992,2545,1.0,0.5,0.05
bm25,original,1.0238374341223064,0.9485265225933203,0.8332151432937287,2545,1.0,0.5,0.05
bm25,prompt,0.694951741665887,0.9300589390962672,0.8122610471824618,2545,1.0,0.5,0.05
bm25,structured,0.6313725948794711,0.9029469548133595,0.7826273115664079,2545,1.0,0.5,0.05
dense,expanded,-0.5324306140268813,0.06483300589390963,0.01478513736863442,2545,1.0,0.5,0.05
dense,keyword,-0.06924361493123775,0.16345776031434184,0.06037328094302554,2545,1.0,0.5,0.05
dense,original,-0.3344793713163065,0.00550098231827112,0.0026326129666011788,2545,1.0,0.5,0.05
dense,prompt,-0.571625970624006,0.060903732809430254,0.017416035176349518,2545,1.0,0.5,0.05
dense,structured,-0.6020361274830823,0.05225933202357564,0.017185112420868807,2545,1.0,0.5,0.05
hybrid,expanded,0.6279450837309383,0.8856581532416503,0.6938862381887922,2545,1.0,0.5,0.05
hybrid,keyword,0.9627493996943898,0.8793713163064834,0.6925321982099979,2545,1.0,0.5,0.05
hybrid,original,0.8796237565098076,0.8856581532416503,0.670524526772071,2545,1.0,0.5,0.05
hybrid,prompt,0.5681424049646053,0.8644400785854617,0.6898800948015094,2545,1.0,0.5,0.05
hybrid,structured,0.5103608070602176,0.8373280943025541,0.671841456949512,2545,1.0,0.5,0.05
bm25,expanded,0.7027101069635451,0.9497053045186641,0.8325136433093211,2545,0.5,1.0,0.05
bm25,keyword,1.0270850095113357,0.9414538310412573,0.8192461097077992,2545,0.5,1.0,0.05
bm25,original,0.9661817444725107,0.9485265225933203,0.8332151432937287,2545,0.5,1.0,0.05
bm25,prompt,0.6360527957089843,0.9300589390962672,0.8122610471824618,2545,0.5,1.0,0.05
bm25,structured,0.5712127732559952,0.9029469548133595,0.7826273115664079,2545,0.5,1.0,0.05
dense,expanded,-0.5574545482895189,0.06483300589390963,0.01478513736863442,2545,0.5,1.0,0.05
dense,keyword,-0.12078585461689591,0.16345776031434184,0.06037328094302554,2545,0.5,1.0,0.05
dense,original,-0.3359135559921415,0.00550098231827112,0.0026326129666011788,2545,0.5,1.0,0.05
dense,prompt,-0.5933698194405465,0.060903732809430254,0.017416035176349518,2545,0.5,1.0,0.05
dense,structured,-0.6195732372844358,0.05225933202357564,0.017185112420868807,2545,0.5,1.0,0.05
hybrid,expanded,0.5320591262045092,0.8856581532416503,0.6938862381887922,2545,0.5,1.0,0.05
hybrid,keyword,0.869329840646147,0.8793713163064834,0.6925321982099979,2545,0.5,1.0,0.05
